work,performances,dynamics_corr_raw,dynamics_corr_smooth,dynamics_level_std,pedal_corr_raw,pedal_corr_smooth,pedal_level_std
Beethoven/Piano_Sonatas/7-1,9,0.7636694886321034,0.879985794472199,0.02210185551020554,0.4768993320260897,0.48418449485356163,0.0856505557720608
Chopin/Ballades/1,17,0.8169847964130611,0.9035726953199644,0.021128981005209598,0.5555733200692913,0.6557839716501738,0.04711706185054373
Chopin/Ballades/2,5,0.8947114725195131,0.9546806973767268,0.01833444566477738,0.5818056790271393,0.6395365949773234,0.05781755410850259
Chopin/Ballades/4,12,0.8659465282689339,0.9328436637114372,0.025106401731939097,0.5699474103433311,0.6769730703495538,0.05931397296793831
Chopin/Barcarolle,9,0.8050433748335641,0.8892683766968263,0.01717501333841271,0.6226552902724101,0.751318004380366,0.04744185391056247
Chopin/Berceuse_op_57,5,0.7447418305141938,0.8863915645056926,0.01654979109726713,0.45261812196088524,0.32101415351540497,0.03925393525473058
Chopin/Etudes_op_10/1,24,0.37073900460863424,0.5258310208847089,0.02324898356288348,0.724362204860791,0.37932302807200474,0.05164689259187815
Chopin/Etudes_op_10/12,13,0.684892477283891,0.8400619106426157,0.013079242008784636,0.5549851031678045,0.7015756114631205,0.08651119459821087
Chopin/Etudes_op_10/2,11,0.37188960365537754,0.47725318659564914,0.028434570956157177,0.31142770572792716,0.28363302999098133,0.1172870064821385
Chopin/Etudes_op_10/4,22,0.5962273130636538,0.7419930646337538,0.023798569092207508,0.6778071667215977,0.8156929578556923,0.07352643226589962
Chopin/Etudes_op_10/5,11,0.690163227763015,0.7928258889025702,0.024016172634690157,0.5879377478026594,0.8019109553642012,0.07875784510534452
Chopin/Etudes_op_10/8,28,0.5482936272425046,0.6969844730669221,0.02079328445803407,0.5943183750553246,0.5461666575438121,0.10860210199164898
Chopin/Etudes_op_25/1,5,0.6427790500879892,0.7471048280025734,0.028247319532664274,0.48585080707031025,0.6710533989401858,0.03856066642857119
Chopin/Etudes_op_25/10,12,0.7945636639154127,0.8822672086529886,0.015019637907842942,0.3686523940884411,0.35210928986514506,0.04277324714752074
Chopin/Etudes_op_25/11,24,0.7033036321607462,0.8299650189808212,0.01952321261088184,0.5250138473947381,0.6178664052524353,0.07788552753941318
Chopin/Etudes_op_25/12,9,0.3803580879298755,0.5695851441606342,0.01874705225381205,0.7859695355913616,0.5469652561915872,0.03550992865649258
Chopin/Scherzos/31,12,0.7368834584740975,0.8885347995955761,0.024804933845696986,0.6627869362814024,0.7691234898156168,0.07204062975249372
Chopin/Sonata_3/2nd,9,0.6554601165127768,0.8116731530637847,0.021280315138786057,0.5875532043460864,0.7100433362503744,0.06157323866475661
Chopin/Sonata_3/3rd,9,0.6226680245727122,0.6510957095247316,0.02130332729297168,0.5346592117971485,0.5174543562763962,0.03943107943143481
Chopin/Sonata_3/4th,9,0.6065643722786641,0.7423266303897283,0.012282421300940543,0.5481898669302879,0.648380192039506,0.03873219640617272
Haydn/Keyboard_Sonatas/46-1,5,0.571142960068902,0.6607118059190482,0.03143710580564646,0.21229853271081547,0.2417895349431732,0.0741582161884301
Haydn/Keyboard_Sonatas/50-1_no_repeat,18,0.6809014618005799,0.7659157356617623,0.015498005856106162,0.6221815278258297,0.7096077622971158,0.07716241131473374
Liszt/Ballade_2,6,0.7624256595386745,0.8777892212915828,0.024400807218179135,0.5401982807246896,0.6613574330256787,0.040339327984157666
Liszt/Concert_Etude_S145/1,6,0.8090994445279784,0.9154186633273628,0.017468851113054434,0.6470518603382546,0.760289980864648,0.06090795677611159
Liszt/Gran_Etudes_de_Paganini/2_La_campanella,29,0.6862750299097374,0.8396412977084129,0.02002848095053474,0.5973626118674463,0.7179317448786189,0.08703278631189579
Liszt/Mephisto_Waltz,13,0.6771662370436786,0.8414231647085152,0.017455376074737818,0.6332584045405453,0.7492288644598313,0.056968427757903915
Liszt/Sonata,5,0.8422105963589044,0.9278285483812005,0.0129762692301862,0.6313584351418652,0.7515019442898383,0.04266222161848942
Liszt/Transcendental_Etudes/10,16,0.7212384832410924,0.8692514959344924,0.02079563034572112,0.6593767386768792,0.7920932749533368,0.060091957169548106
Liszt/Transcendental_Etudes/4,10,0.7149783054172126,0.8513843440013886,0.01936111213465935,0.5353684890004631,0.6684320620987145,0.06692522211250695
Liszt/Transcendental_Etudes/5,11,0.6683531055616637,0.8040263929586862,0.015117607536691745,0.5276933519030609,0.6049162697064028,0.1035881393753803
Mozart/Piano_Sonatas/8-1,5,0.6943081434901512,0.796802914372216,0.017489551020998407,0.34572951618013986,0.44549100773561934,0.14825898818858207
Prokofiev/Toccata,8,0.7389265384600375,0.8718331393725215,0.01651813216814637,0.4114198124702476,0.5005165365142332,0.10602095475437776
Ravel/Gaspard_de_la_Nuit/1_Ondine,7,0.7376665092551721,0.8621390331715363,0.018194122890974142,0.2608114922868448,0.16270655497180972,0.08803766964316936
Ravel/Miroirs/4_Alborada_del_gracioso,8,0.7613365558134417,0.8476211725371415,0.016896472967533712,0.7645354415847595,0.8380145478205295,0.06741922349048955
Schubert/Impromptu_op.90_D.899/2,7,0.5741657955545539,0.7185491439349784,0.016923090867450023,0.46881169337259104,0.5280849498543412,0.10397876250703322
Schubert/Impromptu_op.90_D.899/3,12,0.7270459341572031,0.815245764155734,0.02570560883797584,0.609621418365762,0.4912704678080633,0.09963168049391517
Schubert/Impromptu_op142/3,6,0.7534702088582168,0.8439174810047089,0.014672479433868107,0.5591294289515593,0.7031514561996755,0.07371510998635561
Schubert/Piano_Sonatas/894-2_no_repeat,6,0.8784434094570993,0.9523474738451959,0.015802591191906953,0.45518143862058513,0.38812033632700466,0.0767540128674871
Scriabin/Sonatas/5,7,0.7891073858720988,0.8992639479296375,0.016896997179307812,0.688970214311498,0.7848678248727877,0.06872286275932984
